id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link,,,,
1,TT0001KB,Bakau,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,30,12,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9559314,102.4319059,4.561535995,2.61,Belum,-,-,M. Abu,18/09/2021 10:41,50000,1093.833,-,"Krisnawati et al, 2012",media/1631936341831.jpg,media/1631936433919.jpg,media/1631936461064.jpg,media/1631936478928.jpg,,,,,
2,TT0002KB,Bakau,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,30,12,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9558306,102.431915,-15.39021296,2.61,Belum,-,-,Maringan,18/09/2021 10:48,50000,1093.833,-,"Krisnawati et al, 2012",media/1631936753580.jpg,media/1631936831917.jpg,media/1631936869531.jpg,media/1631936909026.jpg,,,,,
3,TT0003KB,Bakau,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,22,10,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9558173,102.4318783,6.731053664,2.6,Belum,-,-,Hasan,18/09/2021 10:56,50000,542.665,-,"Krisnawati et al, 2012",media/1631937287415.jpg,media/1631937308080.jpg,media/1631937353710.jpg,media/1631937403453.jpg,,,,,
4,TT0004KB,Bakau,Rhizophora mucronata,Pohon Dewasa,icon/mature_tree.svg,Least concern,40,15,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9558656,102.4318545,17.56165347,2.61,Belum,-,-,Ria,18/09/2021 11:04,200000,2095.620,-,"Krisnawati et al, 2012",media/1631937691094.jpg,media/1631937785978.jpg,media/1631937817576.jpg,media/1631937857728.jpg,,,,,
5,TT0005KB,Bakau,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,31,13,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9558009,102.4318008,16.32671339,2.6,Belum,-,-,Riko,18/09/2021 11:12,50000,1177.970,-,"Krisnawati et al, 2012",media/1631938196924.jpg,media/1631938247560.jpg,media/1631938272598.jpg,media/1631938316727.jpg,,,,,
6,TT0006KB,Bakau,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,29,15,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9558809,102.4317924,17.96408381,2.6,Belum,-,-,Nizam,18/09/2021 11:16,50000,1013.156,-,"Krisnawati et al, 2012",media/1631938444772.jpg,media/1631938492604.jpg,media/1631938511580.jpg,media/1631938561030.jpg,,,,,
7,TT0007KB,Mangrove,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,32,13,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9557815,102.4318429,16.596298,2.6,Belum,-,-,Nasrum,18/09/2021 11:21,50000,1265.598,-,"Krisnawati et al, 2012",media/1631938738138.jpg,media/1631938790058.jpg,media/1631938809063.jpg,media/1631938846549.jpg,,,,,
8,TT0008KB,Bakau,Rhizophora mucronata,Pohon Muda,icon/young_tree.svg,Least concern,28,12,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9557639,102.4318152,2.359821497,2.59,Belum,-,-,M. Abu,18/09/2021 11:26,50000,935.910,-,"Krisnawati et al, 2012",media/1631938981659.jpg,media/1631939148287.jpg,media/1631939182857.jpg,media/1631939207249.jpg,,,,,
9,TT0009KB,Mangrove,Rhizophora mucronata,Pohon Dewasa,icon/mature_tree.svg,Least concern,44,18,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9557059,102.4318389,0.193426417,2.59,Belum,-,-,Maringan,18/09/2021 11:29,200000,2599.321,-,"Krisnawati et al, 2012",media/1631939303282.jpg,media/1631939335286.jpg,media/1631939365117.jpg,media/1631939384827.jpg,,,,,
10,TT0010KB,Bakau,Rhizophora mucronata,Pohon Dewasa,icon/mature_tree.svg,Least concern,60,18,Hutan Kemasyarakatan Gapoktan Karya Bersama,Mangrove,HKm Gapoktan Karya Bersama,0.9555391,102.4317387,37.83848447,2.57,Belum,-,-,Hasan,18/09/2021 11:35,200000,5239.366,-,"Krisnawati et al, 2012",media/1631939630739.jpg,media/1631939650859.jpg,media/1631939668857.jpg,media/1631939693768.jpg,,,,,
