id;kode_pohon;nama_lokal;nama_latin;Group;Icon;status_iucn;diameter;tinggi;unit_PS;jenis_lahan;nama_khas_wilayah;Latitude;Longitude;elevasi;jarak_permukiman;status_adopsi;nama_pengadopsi;masa_berlaku;nama_surveyor;waktu_survei;harga_adopsi;serapan_karbon;penyedia_bibit;metode_karbon;Image1;Image2;Image3;Image4;chart_link
1;BAA0001;Leban perak;Vitex sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;60;15;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5414318;101.0905876;5.146335999;3.44;Belum;-;-;Hari Yudistira;9/21/2021 14:17;200000;4215.31;-;Chave et al, 2014;;;;;
2;BAA0002;Leban perak;Vitex sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;45;13;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.541435;101.0905706;10.62592942;3.44;Belum;-;-;Hari Yudistira;9/21/2021 14:32;200000;2090.71;-;Chave et al, 2014;;;;;
3;BAA0003;Asam kandis;Garcinia parfipolia;Pohon Muda;icon/young_tree.svg;Not Defined;34.7;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5433315;101.0925501;3.534858706;3.21;Belum;-;-;Hari Yudistira;9/21/2021 14:51;50000;1682.27;-;Chave et al, 2014;;;;;
4;BAA0004;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;52;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5436342;101.0926418;8.268010248;3.18;Belum;-;-;Hari Yudistira;9/21/2021 15:00;200000;4257.35;-;Chave et al, 2014;;;;;
5;BAA0005;Asam kandis;Garcinia parfipolia;Pohon Muda;icon/young_tree.svg;Not Defined;37;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.543589;101.092757;5.33806168;3.18;Belum;-;-;Hari Yudistira;9/21/2021 15:05;50000;2832.49;-;Chave et al, 2014;;;;;
6;BAA0006;Asam kandis;Garcinia parfipolia;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5436707;101.0927212;-21.84595963;3.18;Belum;-;-;Hari Yudistira;9/21/2021 15:09;200000;3298.07;-;Chave et al, 2014;;;;;
7;BAA0007;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;47;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5436161;101.0926855;7.274821296;3.18;Belum;-;-;Hari Yudistira;9/21/2021 15:13;200000;4345.3;-;Chave et al, 2014;;;;;
8;BAA0008;Kelat;Eugenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;40;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5435324;101.0928329;-5.043294669;3.19;Belum;-;-;Hari Yudistira;9/21/2021 15:23;200000;2869.22;-;Chave et al, 2014;;;;;
9;BAA0009;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;44;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5435301;101.0932259;27.54425996;3.19;Belum;-;-;Hari Yudistira;9/21/2021 15:28;200000;3072.7;-;Chave et al, 2014;;;;;
10;BAA0010;Asam kandis;Garcinia parfipolia;Pohon Muda;icon/young_tree.svg;Not Defined;37;22;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5436583;101.0931372;19.33617475;3.17;Belum;-;-;Hari Yudistira;9/21/2021 15:32;50000;2092.68;-;Chave et al, 2014;;;;;
11;BAA0011;Rengas;Gluta renghas;Pohon Dewasa;icon/mature_tree.svg;Not Defined;48;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5438724;101.0920202;-8.18634436;3.16;Belum;-;-;Hari Yudistira;9/21/2021 15:44;200000;3379.76;-;Chave et al, 2014;;;;;
12;BAA0012;Timah-Timah;Ilex;Pohon Muda;icon/young_tree.svg;Not Defined;36;17;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.543918;101.0920646;7.564393531;3.15;Belum;-;-;Hari Yudistira;9/21/2021 15:47;50000;1541.35;-;Chave et al, 2014;;;;;
13;BAA0013;Belanti;Coccoceras borneense;Pohon Muda;icon/young_tree.svg;Not Defined;39;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5438793;101.0920447;15.6224351;3.16;Belum;-;-;Hari Yudistira;9/21/2021 15:53;50000;2370.46;-;Chave et al, 2014;;;;;
14;BAA0014;Buto Buto/Guah Guah;-;Pohon Muda;icon/young_tree.svg;Not Defined;39;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5441457;101.0918865;7.754886284;3.13;Belum;-;-;Hari Yudistira;9/21/2021 16:00;50000;2740.58;-;Brown, 1997;;;;;
15;BAA0015;Buto Buto/Guah Guah;-;Pohon Dewasa;icon/mature_tree.svg;Not Defined;42;17;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5441554;101.0918869;10.23583197;3.13;Belum;-;-;Hari Yudistira;9/21/2021 16:03;200000;3305.75;-;Brown, 1997;;;;;
16;BAA0016;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;33;15;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5441542;101.0918563;5.594407757;3.13;Belum;-;-;Hari Yudistira;9/21/2021 16:07;50000;1323.43;-;Chave et al, 2014;;;;;
17;BAA0017;Buto Buto/Guah Guah;-;Pohon Dewasa;icon/mature_tree.svg;Not Defined;51;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5441843;101.0918294;11.22594104;3.13;Belum;-;-;Hari Yudistira;9/21/2021 16:12;200000;5402.59;-;Brown, 1997;;;;;
18;BAA0018;Buto Buto/Guah Guah;-;Pohon Dewasa;icon/mature_tree.svg;Not Defined;51;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5442321;101.0919444;8.126473977;3.12;Belum;-;-;Hari Yudistira;9/21/2021 16:17;200000;5402.59;-;Brown, 1997;;;;;
19;BAA0019;Leban bunga;Vitex Pinnata;Pohon Dewasa;icon/mature_tree.svg;Least Concern;47;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5442025;101.0919307;12.76935094;3.12;Belum;-;-;Hari Yudistira;9/21/2021 16:23;200000;5057.61;-;Chave et al, 2014;;;;;
20;BAA0020;Buto Buto/Gurah Gurah;-;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;28;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5441933;101.0919333;11.04325398;3.12;Belum;-;-;Hari Yudistira;9/21/2021 16:27;200000;2921.87;-;Brown, 1997;;;;;
21;BAA0021;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;41;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5439237;101.0918631;-6.898748652;3.15;Belum;-;-;Hari Yudistira;9/21/2021 16:32;200000;3328.42;-;Chave et al, 2014;;;;;
